compactness,circularity,distance circularity,radius ratio,pr.axis aspect ratio,max.length aspect ratio,scatter ratio,elongatedness,pr.axis rectangularity,max.length rectangularity,scaled variance along major axis,scaled variance along minor axis,scaled radius of gyration,skewness about major axis,skewness about minor axis,kurtosis about minor axis,kurtosis about major axis,hollows ratio,classification,Predict classification
103,57,105,221,69,11,218,30,24,173,226,706,250,73,10,2,187,195,opel,opel
89,40,72,155,63,7,146,45,19,135,175,321,145,72,4,10,192,196,bus,van
90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182,192,van,van
96,45,87,169,67,10,154,44,19,149,167,351,174,67,9,8,192,201,van,van
86,41,66,129,55,7,135,50,18,136,154,266,165,74,3,4,180,187,opel,van
96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196,200,bus,bus
93,47,85,163,66,11,156,44,20,158,172,355,178,74,7,15,183,195,van,van
85,42,66,120,53,7,149,46,19,143,169,321,160,85,10,7,180,182,bus,bus
87,42,70,139,59,7,149,45,19,142,177,327,156,78,6,9,185,188,bus,bus
85,33,40,115,57,3,112,61,17,119,130,184,127,86,12,21,181,183,saab,opel
106,54,101,222,67,12,222,30,25,173,228,721,200,70,3,4,187,201,saab,opel
110,46,100,197,61,9,193,34,22,149,209,561,160,65,11,7,194,203,saab,saab
92,37,80,180,67,8,154,43,19,129,180,353,144,69,6,9,190,195,saab,bus
97,48,105,212,64,11,201,33,23,155,212,602,162,64,2,7,193,202,opel,opel
89,36,69,142,57,7,135,50,18,126,154,266,128,66,3,36,193,203,opel,van
89,41,76,183,73,7,157,42,19,136,181,373,153,74,8,12,191,195,bus,bus
90,34,66,136,55,6,123,54,17,118,148,224,118,65,5,26,196,202,saab,van
85,36,51,115,56,5,119,57,17,124,139,207,127,81,13,5,181,184,van,van
93,47,85,161,65,12,155,43,19,157,179,354,178,76,2,9,184,196,van,van
98,44,88,176,67,10,158,43,20,149,173,367,154,66,14,9,194,202,van,van
91,41,93,197,65,9,183,36,21,137,202,504,153,66,11,24,193,200,opel,saab
89,38,77,161,62,7,149,45,19,129,174,327,153,71,6,21,188,193,saab,saab
85,42,66,120,53,7,149,45,19,145,173,325,163,85,5,4,180,182,bus,bus
82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183,187,saab,opel
84,44,77,150,59,5,152,44,19,143,175,344,177,77,8,2,183,187,saab,opel
105,51,93,160,51,7,217,30,24,165,240,703,208,81,9,25,188,188,bus,bus
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,bus,bus
98,48,101,195,61,11,207,31,23,152,227,650,193,71,5,7,189,196,opel,saab
106,52,107,211,62,8,200,33,23,161,218,602,200,67,9,17,194,201,opel,opel
103,48,96,232,71,10,205,32,23,153,226,633,197,71,2,15,188,196,opel,opel
90,48,81,144,60,9,150,44,19,156,173,333,200,75,2,0,185,195,van,van
97,59,108,227,70,11,224,30,25,186,225,732,218,70,10,25,186,198,opel,opel
95,38,66,126,52,8,133,52,18,140,158,253,140,78,11,8,184,183,van,van
107,56,105,202,61,11,221,30,25,179,234,725,212,72,15,1,189,196,opel,saab
94,46,79,181,62,8,167,40,20,148,190,418,193,67,12,15,191,198,opel,opel
84,38,60,128,56,5,132,50,18,130,148,261,141,75,8,4,185,188,opel,opel
89,44,68,113,50,7,150,45,19,147,171,328,189,88,6,5,179,182,bus,bus
109,48,107,215,62,10,205,32,23,158,222,624,168,65,9,32,195,206,opel,saab
96,41,69,153,56,7,141,47,18,141,162,297,169,61,11,8,202,209,saab,van
92,46,82,170,58,8,165,40,20,149,181,409,164,61,8,11,200,208,opel,van
94,48,87,162,64,10,157,43,20,161,179,363,186,75,4,15,184,195,van,van
84,37,53,121,59,5,123,55,17,125,141,221,133,82,7,1,179,183,van,van
86,48,75,136,58,10,161,43,20,163,170,371,185,75,3,1,183,192,van,opel
81,45,68,154,69,22,151,45,19,147,186,335,186,88,1,10,180,185,bus,bus
89,50,83,195,65,6,178,37,21,156,207,481,210,71,1,6,189,194,opel,opel
87,43,70,169,72,7,152,44,19,145,177,341,171,76,6,12,184,187,bus,bus
100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189,197,saab,opel
91,39,83,176,59,7,169,39,20,132,190,426,142,67,0,24,192,199,saab,opel
85,43,69,141,62,7,152,44,19,145,178,341,179,84,1,4,181,184,bus,bus
81,43,68,148,64,7,150,45,19,144,175,330,171,80,1,2,182,185,bus,bus
86,42,65,116,53,6,152,45,19,141,175,335,172,85,5,4,179,183,bus,bus
86,44,70,140,64,6,148,45,19,145,170,322,185,82,10,1,181,183,bus,opel
86,39,58,125,55,5,117,57,17,134,140,204,148,69,7,6,190,194,van,van
95,48,104,214,67,9,205,32,23,151,227,628,202,74,5,9,186,193,opel,saab
91,40,76,171,67,7,149,44,19,135,169,332,144,68,4,17,192,200,bus,opel
96,46,70,194,70,6,167,39,20,148,183,427,171,69,17,10,200,203,bus,bus
93,43,76,149,57,7,149,44,19,143,172,335,176,69,14,0,189,194,saab,bus
102,54,98,201,61,6,225,29,25,165,246,766,231,79,9,14,188,187,bus,bus
82,38,53,125,59,5,133,51,18,128,152,259,146,87,0,0,177,183,opel,opel
91,49,86,195,63,8,177,37,21,156,203,473,201,67,7,5,192,198,opel,opel
103,51,105,174,56,11,210,32,24,163,222,650,222,73,8,9,187,196,saab,saab
85,45,70,120,54,7,149,45,19,145,169,326,186,81,8,4,181,184,bus,bus
98,42,90,192,61,9,178,37,21,144,189,480,138,61,3,8,199,208,saab,saab
102,51,104,217,67,10,204,32,23,162,220,621,195,68,3,19,188,197,saab,saab
91,42,66,142,58,9,134,50,18,142,163,268,164,69,6,5,191,197,van,saab
95,41,82,170,65,9,145,46,19,145,163,314,140,64,4,8,199,207,van,van
117,52,110,228,65,12,212,31,24,163,228,668,220,66,21,25,194,205,saab,saab
109,54,109,225,68,11,214,31,24,169,226,675,212,68,11,32,189,202,saab,saab
96,40,100,178,58,8,181,37,21,134,205,486,160,68,5,34,192,202,saab,saab
93,37,73,174,68,7,151,43,19,131,175,347,135,68,1,22,196,205,bus,opel
92,37,75,191,71,6,161,40,20,128,180,393,135,69,1,14,195,202,bus,bus
102,55,101,213,67,12,222,30,25,177,226,719,213,71,2,21,187,199,saab,opel
91,38,70,160,66,25,140,47,18,139,162,296,130,67,4,11,192,202,van,van
94,43,82,136,54,10,155,43,19,149,176,359,161,74,1,6,186,197,van,van
79,43,72,141,62,8,153,44,19,144,175,344,174,78,0,8,182,188,bus,bus
101,51,105,212,68,10,209,32,24,162,222,653,224,73,5,23,186,195,opel,saab
98,48,101,203,65,9,197,33,23,152,216,584,174,68,2,5,189,197,saab,saab
86,46,70,149,65,8,149,45,19,146,170,331,185,77,6,6,183,188,bus,bus
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,opel,opel
81,47,69,146,64,6,151,44,19,147,171,340,195,75,5,0,183,188,bus,bus
86,38,76,143,59,8,142,47,18,131,167,301,138,71,5,10,189,196,van,van
89,46,78,150,63,11,160,43,20,160,170,367,176,73,5,9,185,194,van,van
92,35,58,136,58,6,122,55,17,132,142,222,116,64,6,17,197,203,van,van
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,bus,bus
86,44,77,155,60,7,152,44,19,141,174,345,161,72,9,0,187,192,opel,opel
94,45,89,213,71,5,186,35,22,145,204,533,182,71,4,13,195,198,bus,bus
78,43,70,147,65,8,147,46,19,145,169,319,168,77,1,12,181,186,bus,van
85,37,68,145,60,6,130,51,18,130,150,253,121,65,3,14,195,203,van,saab
99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188,200,opel,opel
104,54,91,209,67,11,218,31,24,170,223,697,196,74,4,21,187,196,opel,saab
99,54,100,199,62,9,200,33,23,166,222,600,241,70,2,7,189,198,opel,opel
92,37,86,167,60,7,158,42,20,131,181,373,144,68,9,21,190,196,saab,bus
93,36,63,139,57,8,132,50,18,136,158,260,121,67,3,27,193,201,van,van
109,47,96,206,64,9,198,33,23,150,219,586,191,70,4,13,190,198,saab,opel
89,35,70,138,58,7,126,53,17,128,147,237,112,64,4,19,199,207,van,van
98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185,196,opel,opel
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,van,saab
90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185,193,van,van
86,47,75,165,68,6,154,43,19,146,176,356,190,74,7,3,188,194,bus,bus
85,40,72,139,59,5,132,50,18,135,159,260,150,68,3,9,191,195,saab,opel
90,47,85,145,58,9,152,44,19,155,175,345,184,73,4,2,186,197,van,van
107,55,98,199,59,7,240,27,26,168,258,866,245,80,3,1,186,184,bus,bus
101,52,101,197,62,9,188,35,22,162,208,527,203,67,14,15,193,202,saab,opel
87,49,86,190,64,9,177,37,21,153,197,471,209,67,11,7,192,199,opel,saab
90,44,72,157,64,8,137,48,18,144,159,283,171,65,9,4,196,203,van,van
100,51,104,163,52,10,206,32,23,164,217,631,193,69,5,21,188,196,opel,saab
82,44,72,136,61,7,147,46,19,143,173,317,183,81,6,17,181,185,bus,bus
83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185,191,bus,bus
99,48,104,196,63,10,201,33,23,152,221,604,199,73,8,4,188,197,saab,saab
93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183,194,van,van
93,39,87,183,64,8,169,40,20,134,200,422,149,72,7,25,188,195,saab,saab
86,40,63,135,56,5,133,50,18,135,152,262,166,70,9,2,187,191,saab,opel
98,38,78,191,65,8,169,39,20,136,197,430,141,67,9,20,192,199,saab,saab
100,58,109,230,70,11,226,30,25,182,234,752,207,72,0,13,187,198,opel,opel
86,36,66,128,57,8,131,52,18,127,148,252,139,76,5,27,183,187,opel,opel
85,42,64,121,55,7,149,46,19,146,167,323,172,85,1,6,179,182,bus,bus
96,43,82,161,55,5,186,34,22,141,215,534,162,75,0,6,195,196,bus,bus
98,51,96,203,66,10,188,35,22,157,207,533,231,68,10,1,191,199,saab,saab
87,39,74,165,66,6,145,45,19,134,173,318,139,70,3,21,195,200,bus,opel
109,53,103,210,63,11,219,30,25,172,229,707,212,71,6,3,188,199,saab,saab
105,45,100,195,61,10,198,33,23,149,214,586,186,67,8,5,192,200,saab,opel
86,39,62,129,59,6,116,57,17,135,137,203,145,64,7,9,199,204,van,saab
