height,length,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,classification,Predict classification
10,33,330,3.300,.345,.779,1.90,114,257,60,text,text
7,14,98,2.000,.184,.612,18.00,18,60,1,text,horiz
5,22,110,4.400,.536,.909,2.19,59,100,27,text,text
11,11,121,1.000,.430,.802,4.73,52,97,11,text,text
9,44,396,4.889,.449,.879,2.97,178,348,60,text,text
9,107,963,11.889,.375,.861,1.94,361,829,186,text,text
1,45,45,45.000,.933,1.00,21.00,42,45,2,horiz,horiz
5,4,20,.800,.400,.700,2.67,8,14,3,text,text
23,1,23,.043,1.00,1.00,23.00,23,23,1,vert,vert
22,71,1562,3.227,.536,.876,11.64,838,1368,72,text,text
7,11,77,1.571,.221,.922,1.21,17,71,14,text,text
3,470,1410,156.67,.352,.387,23.62,496,545,21,horiz,horiz
8,25,200,3.125,.380,.795,1.81,76,159,42,text,text
12,271,3252,22.583,.238,.571,1.98,773,1857,391,text,text
7,10,70,1.429,.329,1.00,1.77,23,70,13,text,text
8,22,176,2.750,.398,.790,2.59,70,139,27,text,text
6,14,84,2.333,.571,.976,2.40,48,82,20,text,text
10,29,290,2.900,.307,.855,1.85,89,248,48,text,text
6,17,102,2.833,.275,.824,2.00,28,84,14,text,text
6,29,174,4.833,.293,.920,1.50,51,160,34,text,text
9,42,378,4.667,.450,.905,2.79,170,342,61,text,text
7,19,133,2.714,.331,.729,1.69,44,97,26,text,text
9,52,468,5.778,.306,.718,1.66,143,336,86,text,text
7,32,224,4.571,.272,.862,1.53,61,193,40,text,text
9,42,378,4.667,.381,.931,2.48,144,352,58,text,text
7,153,1071,21.857,.467,.970,2.75,500,1039,182,text,text
6,58,348,9.667,.276,.744,1.17,96,259,82,text,text
7,74,518,10.571,.160,.830,1.12,83,430,74,text,text
8,24,192,3.000,.339,.917,1.81,65,176,36,text,text
8,8,64,1.000,.344,.922,1.83,22,59,12,text,text
63,79,4977,1.254,.338,.345,186.78,1681,1718,9,graphic,graphic
8,46,368,5.750,.348,.918,1.97,128,338,65,text,text
14,183,2562,13.071,.390,.681,4.87,998,1745,205,text,text
1,70,70,70.000,1.00,1.00,70.00,70,70,1,horiz,horiz
10,83,830,8.300,.208,.667,1.44,173,554,120,text,text
8,37,296,4.625,.334,.993,1.29,99,294,77,text,text
10,147,1470,14.700,.168,.550,1.29,247,809,191,text,text
6,7,42,1.167,.405,.952,4.25,17,40,4,text,text
8,9,72,1.125,.375,.736,2.45,27,53,11,text,text
8,39,312,4.875,.423,.955,1.83,132,298,72,text,text
10,41,410,4.100,.339,.832,2.01,139,341,69,text,text
168,135,22680,.804,.820,.904,62.81,18591,20513,296,graphic,graphic
8,12,96,1.500,.406,.917,1.56,39,88,25,text,text
8,40,320,5.000,.391,.991,2.08,125,317,60,text,text
8,107,856,13.375,.363,.734,2.24,311,628,139,text,text
6,103,618,17.167,.248,.909,1.23,153,562,124,text,text
10,157,1570,15.700,.233,.565,1.65,366,887,222,text,text
10,262,2620,26.200,.281,.691,1.89,736,1811,390,text,text
9,166,1494,18.444,.274,.606,1.88,409,905,217,text,text
8,298,2384,37.250,.242,.791,1.50,576,1886,383,text,text
8,26,208,3.250,.394,1.00,2.16,82,208,38,text,text
9,46,414,5.111,.292,.676,1.92,121,280,63,text,text
9,535,4815,59.444,.192,.658,1.42,926,3167,654,text,text
8,78,624,9.750,.244,.745,1.35,152,465,113,text,text
44,3,132,.068,.598,.841,2.47,79,111,32,vert,text
7,38,266,5.429,.226,.639,1.40,60,170,43,text,text
1,19,19,19.000,.579,1.00,3.67,11,19,3,horiz,horiz
8,4,32,.500,.469,.875,5.00,15,28,3,text,text
8,8,64,1.000,.391,1.00,2.50,25,64,10,text,text
3,183,549,61.000,.488,.577,29.78,268,317,9,horiz,horiz
10,67,670,6.700,.300,.745,2.14,201,499,94,text,text
8,25,200,3.125,.370,.730,2.06,74,146,36,text,text
10,22,220,2.200,.377,.614,2.44,83,135,34,text,text
12,404,4848,33.667,.334,.674,2.82,1617,3267,573,text,text
11,185,2035,16.818,.356,.772,2.94,724,1572,246,text,text
10,251,2510,25.100,.179,.515,1.37,449,1293,327,text,text
9,148,1332,16.444,.194,.685,1.37,258,912,189,text,text
10,39,390,3.900,.295,.908,2.09,115,354,55,text,text
8,9,72,1.125,.361,.722,1.86,26,52,14,text,text
10,19,190,1.900,.326,.768,1.59,62,146,39,text,text
9,49,441,5.444,.252,.739,1.61,111,326,69,text,text
8,54,432,6.750,.537,.951,3.36,232,411,69,text,text
10,9,90,.900,.522,.656,9.40,47,59,5,text,text
9,217,1953,24.111,.168,.686,1.40,329,1339,235,text,text
11,76,836,6.909,.254,.688,2.08,212,575,102,text,text
10,12,120,1.200,.333,.867,1.82,40,104,22,text,text
5,69,345,13.800,.249,.632,1.51,86,218,57,text,text
8,43,344,5.375,.326,.750,1.81,112,258,62,text,text
6,13,78,2.167,.269,.667,1.50,21,52,14,text,text
10,58,580,5.800,.402,.893,2.81,233,518,83,text,text
9,9,81,1.000,.630,.802,5.10,51,65,10,text,text
7,198,1386,28.286,.055,.359,1.23,76,498,62,text,picture
9,123,1107,13.667,.390,.996,2.82,432,1103,153,text,text
8,54,432,6.750,.188,.780,1.53,81,337,53,text,text
8,74,592,9.250,.568,.983,3.11,336,582,108,text,text
17,110,1870,6.471,.175,.603,1.46,328,1128,224,text,text
11,19,209,1.727,.306,.789,2.46,64,165,26,text,text
8,6,48,.750,.396,.813,1.58,19,39,12,text,text
8,26,208,3.250,.389,1.00,2.31,81,208,35,text,text
9,1,9,.111,1.00,1.00,9.00,9,9,1,vert,vert
7,31,217,4.429,.295,.857,1.64,64,186,39,text,text
9,180,1620,20.000,.374,.759,2.86,606,1230,212,text,text
1,14,14,14.000,1.00,1.00,14.00,14,14,1,horiz,horiz
11,98,1078,8.909,.397,.778,2.61,428,839,164,text,text
16,376,6016,23.500,.371,.580,5.57,2232,3490,401,text,text
8,163,1304,20.375,.383,.982,2.79,500,1280,179,text,text
6,4,24,.667,.542,1.00,1.86,13,24,7,text,text
8,47,376,5.875,.340,.753,2.00,128,283,64,text,text
9,13,117,1.444,.103,.752,4.00,12,88,3,horiz,text
11,40,440,3.636,.270,.618,1.80,119,272,66,text,text
12,85,1020,7.083,.476,.614,5.40,486,626,90,text,text
5,29,145,5.800,.538,.890,2.36,78,129,33,text,text
6,4,24,.667,.667,1.00,8.00,16,24,2,text,text
7,65,455,9.286,.284,.846,1.57,129,385,82,text,text
11,53,583,4.818,.225,.485,3.45,131,283,38,text,text
9,23,207,2.556,.324,.986,1.63,67,204,41,text,text
67,30,2010,.448,.169,.460,2.26,339,924,150,picture,text
8,28,224,3.500,.406,.777,2.07,91,174,44,text,text
10,55,550,5.500,.295,.756,1.98,162,416,82,text,text
1,44,44,44.000,.727,1.00,5.33,32,44,6,horiz,horiz
7,40,280,5.714,.229,.682,1.25,64,191,51,text,text
31,105,3255,3.387,.224,.417,5.35,728,1358,136,picture,picture
5,32,160,6.400,.413,.994,1.35,66,159,49,text,text
14,301,4214,21.500,.257,.564,2.37,1084,2378,458,text,text
7,103,721,14.714,.295,.691,1.76,213,498,121,text,text
25,203,5075,8.120,.837,.929,15.22,4246,4713,279,text,text
10,8,80,.800,.525,.875,7.00,42,70,6,text,text
9,120,1080,13.333,.176,.752,1.29,190,812,147,text,text
5,81,405,16.200,.311,.968,1.30,126,392,97,text,text
8,5,40,.625,.325,.900,6.50,13,36,2,text,text
10,251,2510,25.100,.141,.621,1.23,354,1559,287,text,text
8,15,120,1.875,.500,1.00,2.14,60,120,28,text,text
1,44,44,44.000,.250,1.00,2.20,11,44,5,horiz,horiz
7,111,777,15.857,.254,.883,1.50,197,686,131,text,text
8,41,328,5.125,.293,.872,1.43,96,286,67,text,text
8,12,96,1.500,.510,.844,2.58,49,81,19,text,text
5,52,260,10.400,.208,.542,1.35,54,141,40,text,text
11,511,5621,46.455,.170,.538,1.42,956,3023,671,text,text
8,8,64,1.000,.500,1.00,2.91,32,64,11,text,text
9,5,45,.556,.711,.889,10.67,32,40,3,text,text
6,32,192,5.333,.365,.958,1.67,70,184,42,text,text
24,64,1536,2.667,.227,.570,3.38,348,875,103,text,text
6,29,174,4.833,.305,.966,1.26,53,168,42,text,text
9,36,324,4.000,.352,.806,1.75,114,261,65,text,text
8,48,384,6.000,.396,.924,2.03,152,355,75,text,text
10,8,80,.800,.400,.700,4.00,32,56,8,text,text
16,227,3632,14.188,.410,.731,4.97,1490,2654,300,text,text
17,24,408,1.412,.360,.708,5.88,147,289,25,text,text
9,37,333,4.111,.444,.898,2.08,148,299,71,text,text
13,1,13,.077,1.00,1.00,13.00,13,13,1,vert,vert
8,27,216,3.375,.407,1.00,2.05,88,216,43,text,text
10,49,490,4.900,.551,.943,3.07,270,462,88,text,text
6,9,54,1.500,.352,.870,1.58,19,47,12,text,text
8,129,1032,16.125,.232,.823,1.46,239,849,164,text,text
11,427,4697,38.818,.566,.570,189.79,2657,2676,14,horiz,text
9,264,2376,29.333,.197,.656,1.34,468,1558,349,text,text
7,40,280,5.714,.232,.707,1.38,65,198,47,text,text
9,69,621,7.667,.343,.876,1.75,213,544,122,text,text
38,410,15580,10.789,.254,.604,2.40,3957,9403,1651,text,text
9,18,162,2.000,.327,.914,1.89,53,148,28,text,text
3,550,1650,183.33,.339,.401,15.11,559,662,37,horiz,horiz
9,52,468,5.778,.359,.827,2.40,168,387,70,text,text
1,7,7,7.000,1.00,1.00,7.00,7,7,1,text,text
9,75,675,8.333,.396,.914,2.21,267,617,121,text,text
3,3,9,1.000,.778,.778,7.00,7,7,1,text,text
10,98,980,9.800,.379,.835,2.22,371,818,167,text,text
11,118,1298,10.727,.408,.616,6.63,530,800,80,text,text
6,6,36,1.000,.361,.778,1.63,13,28,8,text,text
9,38,342,4.222,.377,.731,2.74,129,250,47,text,text
9,9,81,1.000,.296,.901,1.60,24,73,15,text,text
11,62,682,5.636,.218,.705,1.62,149,481,92,text,text
7,15,105,2.143,.314,1.00,1.57,33,105,21,text,text
7,1,7,.143,1.00,1.00,7.00,7,7,1,vert,vert
11,9,99,.818,.384,.727,3.80,38,72,10,text,text
8,8,64,1.000,.484,1.00,3.44,31,64,9,text,text
7,13,91,1.857,.330,.835,1.43,30,76,21,text,text
17,382,6494,22.471,.363,.567,5.46,2355,3680,431,text,text
8,17,136,2.125,.265,.566,1.71,36,77,21,text,text
4,89,356,22.250,.340,.916,1.64,121,326,74,text,text
10,127,1270,12.700,.388,.798,2.35,493,1014,210,text,text
10,41,410,4.100,.312,.734,1.94,128,301,66,text,text
6,39,234,6.500,.466,.889,2.10,109,208,52,text,text
7,39,273,5.571,.330,.853,1.43,90,233,63,text,text
8,28,224,3.500,.308,.835,3.14,69,187,22,text,text
10,316,3160,31.600,.366,.673,2.74,1158,2126,422,text,text
6,24,144,4.000,.292,.764,1.56,42,110,27,text,text
9,40,360,4.444,.386,.889,2.44,139,320,57,text,text
8,13,104,1.625,.356,.942,1.76,37,98,21,text,text
11,185,2035,16.818,.487,.883,4.50,991,1796,220,text,text
5,98,490,19.600,.341,.639,2.14,167,313,78,text,text
8,14,112,1.750,.482,.759,3.38,54,85,16,text,text
6,5,30,.833,.367,1.00,2.20,11,30,5,picture,text
1,257,257,257.00,1.00,1.00,257.00,257,257,1,horiz,horiz
9,369,3321,41.000,.329,.639,2.67,1094,2122,409,text,text
6,96,576,16.000,.260,.856,1.53,150,493,98,text,text
22,47,1034,2.136,.319,.753,2.13,330,779,155,text,text
8,196,1568,24.500,.142,.644,1.40,222,1010,159,text,text
11,42,462,3.818,.335,.829,2.25,155,383,69,text,text
8,2,16,.250,.563,.563,9.00,9,9,1,text,vert
24,125,3000,5.208,.915,.959,21.29,2746,2877,129,text,text
18,1,18,.056,1.00,1.00,18.00,18,18,1,vert,vert
5,12,60,2.400,.200,.583,2.00,12,35,6,text,picture
9,37,333,4.111,.517,.934,2.82,172,311,61,text,text
43,62,2666,1.442,.080,.170,6.63,212,454,32,picture,text
4,11,44,2.750,.159,.932,1.75,7,41,4,picture,text
10,34,340,3.400,.303,.815,1.84,103,277,56,text,text
10,73,730,7.300,.273,.790,1.84,199,577,108,text,text
7,19,133,2.714,.331,.767,1.42,44,102,31,text,text
10,121,1210,12.100,.402,.849,2.70,486,1027,180,text,text
7,8,56,1.143,.357,.804,2.00,20,45,10,text,text
7,18,126,2.571,.310,.960,1.39,39,121,28,text,text
8,17,136,2.125,.441,.978,1.67,60,133,36,text,text
7,7,49,1.000,.286,1.00,1.27,14,49,11,text,text
21,4,84,.190,.310,.643,3.71,26,54,7,picture,text
16,309,4944,19.313,.382,.549,5.38,1890,2713,351,text,text
9,155,1395,17.222,.376,.722,2.53,524,1007,207,text,text
7,11,77,1.571,.364,1.00,1.33,28,77,21,text,text
13,348,4524,26.769,.195,.743,1.64,881,3363,537,text,text
10,31,310,3.100,.316,.752,1.66,98,233,59,text,text
24,510,12240,21.250,.846,.927,38.65,10359,11341,268,horiz,text
11,119,1309,10.818,.261,.798,1.88,341,1045,181,text,text
10,19,190,1.900,.542,.768,7.36,103,146,14,text,text
2,116,232,58.000,.616,.802,17.88,143,186,8,horiz,horiz
6,101,606,16.833,.411,.876,1.93,249,531,129,text,text
8,98,784,12.250,.282,.864,1.42,221,677,156,text,text
7,5,35,.714,.257,.571,2.25,9,20,4,text,text
9,82,738,9.111,.337,.821,2.49,249,606,100,text,text
6,31,186,5.167,.263,.812,1.40,49,151,35,text,text
10,123,1230,12.300,.362,.888,2.99,445,1092,149,text,text
8,99,792,12.375,.351,.962,1.66,278,762,167,text,text
11,1,11,.091,1.00,1.00,11.00,11,11,1,vert,vert
12,1,12,.083,1.00,1.00,12.00,12,12,1,vert,vert
2,64,128,32.000,.430,.602,3.93,55,77,14,horiz,horiz
7,8,56,1.143,.411,.714,2.30,23,40,10,text,text
5,7,35,1.400,.600,.886,3.50,21,31,6,text,text
9,8,72,.889,.722,.792,13.00,52,57,4,text,text
10,31,310,3.100,.300,.813,3.32,93,252,28,text,text
10,413,4130,41.300,.315,.731,2.47,1302,3018,527,text,text
7,239,1673,34.143,.160,.476,1.51,268,797,177,text,text
8,6,48,.750,.375,.792,3.00,18,38,6,text,text
7,9,63,1.286,.333,.952,1.40,21,60,15,text,text
9,168,1512,18.667,.315,.697,2.15,476,1054,221,text,text
7,13,91,1.857,.308,.978,1.56,28,89,18,text,text
7,44,308,6.286,.218,.734,1.26,67,226,53,text,text
7,14,98,2.000,.255,.735,1.56,25,72,16,text,text
10,510,5100,51.000,.163,.542,1.36,832,2763,612,text,text
10,272,2720,27.200,.211,.772,1.43,573,2101,401,text,text
7,19,133,2.714,.278,.662,1.37,37,88,27,text,text
7,31,217,4.429,.396,.862,2.10,86,187,41,text,text
7,18,126,2.571,.270,.881,1.36,34,111,25,text,text
9,83,747,9.222,.284,.849,1.91,212,634,111,text,text
10,15,150,1.500,.247,.720,1.61,37,108,23,text,text
6,101,606,16.833,.393,.752,1.98,238,456,120,text,text
8,20,160,2.500,.525,.938,3.50,84,150,24,text,text
7,219,1533,31.286,.182,.798,1.26,279,1224,222,text,text
8,187,1496,23.375,.155,.747,1.38,232,1118,168,text,text
24,198,4752,8.250,.911,.983,15.80,4329,4670,274,text,text
8,132,1056,16.500,.360,.921,2.10,380,973,181,text,text
9,186,1674,20.667,.425,.786,3.24,712,1315,220,text,text
9,36,324,4.000,.531,.938,2.82,172,304,61,text,text
9,46,414,5.111,.297,.833,1.66,123,345,74,text,text
9,186,1674,20.667,.160,.814,1.26,268,1363,213,text,text
8,21,168,2.625,.357,.911,1.67,60,153,36,text,text
7,65,455,9.286,.407,.895,2.18,185,407,85,text,text
14,203,2842,14.500,.362,.670,4.36,1028,1904,236,text,text
8,34,272,4.250,.360,.717,1.88,98,195,52,text,text
10,8,80,.800,.675,1.00,9.00,54,80,6,text,text
7,17,119,2.429,.429,.908,1.89,51,108,27,text,text
7,7,49,1.000,.429,1.00,1.91,21,49,11,text,text
6,90,540,15.000,.394,.804,2.20,213,434,97,text,text
13,57,741,4.385,.745,1.00,11.50,552,741,48,text,text
9,81,729,9.000,.287,.826,2.22,209,602,94,text,text
14,364,5096,26.000,.366,.562,4.71,1865,2865,396,text,text
7,163,1141,23.286,.212,.831,1.31,242,948,185,text,text
7,346,2422,49.429,.159,.749,1.17,386,1813,329,text,text
9,81,729,9.000,.357,.863,2.22,260,629,117,text,text
6,114,684,19.000,.278,.741,1.76,190,507,108,text,text
7,7,49,1.000,.306,.898,1.36,15,44,11,text,text
7,37,259,5.286,.301,.691,1.81,78,179,43,text,text
11,87,957,7.909,.319,.628,2.65,305,601,115,text,text
6,27,162,4.500,.475,.809,2.33,77,131,33,text,text
10,67,670,6.700,.291,.588,2.27,195,394,86,text,text
9,49,441,5.444,.580,.995,2.98,256,439,86,text,text
14,27,378,1.929,.479,.709,7.24,181,268,25,text,text
27,267,7209,9.889,.362,.674,4.36,2610,4860,599,text,text
16,389,6224,24.313,.364,.569,5.35,2268,3544,424,text,text
9,180,1620,20.000,.160,.523,1.39,259,847,186,text,text
54,1,54,.019,1.00,1.00,54.00,54,54,1,vert,vert
6,19,114,3.167,.360,.711,1.58,41,81,26,text,text
1,69,69,69.000,.667,1.00,4.18,46,69,11,horiz,horiz
9,9,81,1.000,.519,.531,42.00,42,43,1,text,text
3,259,777,86.333,.960,.978,67.82,746,760,11,horiz,horiz
10,51,510,5.100,.220,.841,1.29,112,429,87,text,text
17,266,4522,15.647,.921,1.00,12.82,4167,4522,325,text,text
1,187,187,187.00,.963,1.00,25.71,180,187,7,horiz,horiz
9,22,198,2.444,.212,.763,1.62,42,151,26,text,text
1,55,55,55.000,.564,1.00,10.33,31,55,3,horiz,horiz
20,19,380,.950,.495,.713,12.53,188,271,15,text,text
14,57,798,4.071,.727,.951,11.84,580,759,49,text,text
12,101,1212,8.417,.292,.792,1.99,354,960,178,text,text
11,9,99,.818,.485,.727,6.00,48,72,8,text,text
9,47,423,5.222,.286,.738,1.95,121,312,62,text,text
6,10,60,1.667,.450,.850,1.93,27,51,14,text,text
10,79,790,7.900,.244,.742,1.79,193,586,108,text,text
28,61,1708,2.179,.172,.509,1.97,294,870,149,picture,text
8,17,136,2.125,.353,.801,2.00,48,109,24,text,text
8,14,112,1.750,.375,.839,2.10,42,94,20,text,text
7,18,126,2.571,.262,.873,1.94,33,110,17,text,text
5,12,60,2.400,.467,.600,4.67,28,36,6,text,text
7,6,42,.857,.548,.952,2.56,23,40,9,text,text
8,15,120,1.875,.317,.742,2.00,38,89,19,text,text
9,19,171,2.111,.620,.836,7.57,106,143,14,text,text
2,46,92,23.000,.587,.761,18.00,54,70,3,horiz,horiz
10,20,200,2.000,.435,.890,2.90,87,178,30,text,text
7,38,266,5.429,.353,.902,2.04,94,240,46,text,text
11,123,1353,11.182,.250,.514,1.95,338,695,173,text,text
8,231,1848,28.875,.872,.882,179.00,1611,1630,9,horiz,text
7,33,231,4.714,.143,.844,2.36,33,195,14,text,text
8,27,216,3.375,.269,.764,1.29,58,165,45,text,text
5,3,15,.600,.600,1.00,4.50,9,15,2,text,text
8,16,128,2.000,.398,.695,2.55,51,89,20,horiz,text
8,11,88,1.375,.477,.966,2.00,42,85,21,text,text
5,7,35,1.400,.543,1.00,2.11,19,35,9,text,text
8,8,64,1.000,.359,.969,1.53,23,62,15,text,text
2,98,196,49.000,.480,.653,9.40,94,128,10,horiz,horiz
10,130,1300,13.000,.425,.773,2.79,552,1005,198,text,text
6,44,264,7.333,.447,.811,2.11,118,214,56,text,text
6,7,42,1.167,.476,.976,2.22,20,41,9,text,text
9,85,765,9.444,.395,.846,2.32,302,647,130,text,text
11,98,1078,8.909,.317,.643,2.80,342,693,122,text,text
10,16,160,1.600,.300,1.00,1.85,48,160,26,text,text
5,34,170,6.800,.224,.606,1.31,38,103,29,text,text
11,367,4037,33.364,.221,.770,1.64,891,3108,544,text,text
1,16,16,16.000,.938,1.00,15.00,15,16,1,horiz,horiz
13,38,494,2.923,.285,.907,3.62,141,448,39,text,text
10,511,5110,51.100,.161,.634,1.43,822,3238,575,text,text
